교량명,시설물종별등급구분,시도명,시군구명,교량연장,교량폭,차로수,상부구조형식,최종안전점검결과,설계활하중,준공후경과년수,경간수,최대경간장,교통량
대왕교,2,서울특별시,강남구,150,14.5,2,PSCI거더교,B,DB-24,22,5,30,0
휘여울소교,기타,서울특별시,강남구,30,30.9,4,라멘교,A,DB-24,10,1,30,
실여울교,기타,서울특별시,강남구,39,12.9,2,라멘교,A,DB-24,10,1,39,
성내7교,3,서울특별시,송파구,70,12,4,RC슬래브교,C,DB-24,39,5,15,
마천교,3,서울특별시,송파구,24,3,2,RC슬래브교,B,DB-24,27,4,6,
복하교,2,경기도,이천시,204.6,22,5,PSCI거더교,C,DB-24,30,8,25.7,15345
봉산교,2,경기도,안성시,100,10,2,RC슬래브교,B,DB-24,22,4,25,814
안성천교,2,경기도,안성시,175,10,2,PSCI거더교,B,DB-24,27,7,25,4111
한천교,2,경기도,안성시,100,10,2,PSCI거더교,B,DB-24,27,4,25,4111
가리산교,기타,경기도,용인시 처인구,4.5,9.3,2,RC슬래브교,B,DB-13.5,31,1,4.5,7105
가산육교,3,경기도,이천시,45,20.9,4,강박스거더교,B,DB-24,26,1,45,2860
갈천1교,3,경기도,화성시,26,12,2,라멘교,B,DB-24,24,2,13,7620
계향교,3,경기도,화성시,30,12,2,RC슬래브교,C,DB-24,24,2,15,7620
고당1교,3,경기도,이천시,24.5,16,2,라멘교,B,DB-24,17,2,13,1848
고당교,2,경기도,이천시,210,10,2,PSCI거더교,B,DB-24,24,7,30,1848
광동교(상),1,경기도,광주시,210,12,2,강박스거더교,B,DB-24,27,4,60,12800
광동교(하),1,경기도,광주시,210,12,2,강박스거더교,B,DB-24,23,4,60,12800
구양교,기타,경기도,여주시,9.2,13.5,2,라멘교,B,DB-24,18,2,8,848
굴암1교,3,경기도,용인시 처인구,45,12,2,라멘교,B,DB-24,22,4,11,6419
굴암2교,3,경기도,용인시 처인구,45,12,2,라멘교,B,DB-24,22,4,11,6419
귀여교,3,경기도,광주시,36,8,2,RCT거더교,C,DB-18,50,3,12,2432
금광2교,3,경기도,안성시,20,11,2,아치교,A,DB-24,17,1,20,1315
